"Event.ID","Purchase.Date","Customer.ID","City","State","Postal.Code","Sale.Location","Delivery.Method"
"18","1/28/2020 15:29","298","Cleveland","OH","44122","POS","E-Ticket"
"19","1/28/2020 15:28","366","Cleveland","OH","44106","Web","E-Ticket"
"19","1/28/2020 15:28","366","Cleveland","OH","44106","Web","E-Ticket"
"19","1/28/2020 15:28","366","Cleveland","OH","44106","Web","E-Ticket"
"19","1/28/2020 15:28","366","Cleveland","OH","44106","Web","E-Ticket"
"28","1/28/2020 15:10","4965","Northfield","OH","44067","Web","E-Ticket"
"28","1/28/2020 15:10","4965","Northfield","OH","44067","Web","E-Ticket"
"18","1/28/2020 15:08","2237","Cleveland","OH","44111","POS","E-Ticket"
"18","1/28/2020 15:08","2237","Cleveland","OH","44111","POS","E-Ticket"
"18","1/28/2020 15:08","2237","Cleveland","OH","44111","POS","E-Ticket"
"18","1/28/2020 15:08","2237","Cleveland","OH","44111","POS","E-Ticket"
"28","1/28/2020 14:56","2127","Cleveland","OH","44114","Web","E-Ticket"
"28","1/28/2020 14:56","2127","Cleveland","OH","44114","Web","E-Ticket"
"28","1/28/2020 14:56","2127","Cleveland","OH","44114","Web","E-Ticket"
"28","1/28/2020 14:56","2127","Cleveland","OH","44114","Web","E-Ticket"
"21","1/28/2020 14:53","1325","Beachwood","OH","44122","POS","E-Ticket"
"21","1/28/2020 14:53","1325","Beachwood","OH","44122","POS","E-Ticket"
"21","1/28/2020 14:53","1325","Beachwood","OH","44122","POS","E-Ticket"
"21","1/28/2020 14:53","1325","Beachwood","OH","44122","POS","E-Ticket"
"18","1/28/2020 14:48","1653","Cleveland","OH","44120","POS","E-Ticket"
"18","1/28/2020 14:48","1653","Cleveland","OH","44120","POS","E-Ticket"
"28","1/28/2020 14:47","795","Cleveland","OH","44121","Web","E-Ticket"
"28","1/28/2020 14:47","795","Cleveland","OH","44121","Web","E-Ticket"
"28","1/28/2020 14:43","797","Fairview Park","OH","44126","Web","E-Ticket"
"28","1/28/2020 14:43","797","Fairview Park","OH","44126","Web","E-Ticket"
"28","1/28/2020 14:41","2967","Cleveland","OH","44109","Web","E-Ticket"
"28","1/28/2020 14:41","2967","Cleveland","OH","44109","Web","E-Ticket"
"28","1/28/2020 14:29","4585","Cleveland","OH","44113","Web","E-Ticket"
"28","1/28/2020 14:29","4585","Cleveland","OH","44113","Web","E-Ticket"
"28","1/28/2020 14:23","3962","Cleveland","OH","44118","Web","E-Ticket"
"28","1/28/2020 14:23","3962","Cleveland","OH","44118","Web","E-Ticket"
"28","1/28/2020 14:22","4645","Cleveland","OH","44110","Web","E-Ticket"
"28","1/28/2020 14:22","4645","Cleveland","OH","44110","Web","E-Ticket"
"28","1/28/2020 14:21","4181","Shaker Heights","OH","44122","Web","E-Ticket"
"18","1/28/2020 14:21","4086","Cleveland Heights","OH","44106","Web","E-Ticket"
"18","1/28/2020 14:21","4086","Cleveland Heights","OH","44106","Web","E-Ticket"
"18","1/28/2020 14:21","4086","Cleveland Heights","OH","44106","Web","E-Ticket"
"33","1/28/2020 14:19","1200","Cleveland","OH","44103","Web","E-Ticket"
"33","1/28/2020 14:17","4033","Cleveland","OH","44106","Web","E-Ticket"
"33","1/28/2020 14:17","4033","Cleveland","OH","44106","Web","E-Ticket"
"28","1/28/2020 14:16","3132","Seven Hills","OH","44131","Web","E-Ticket"
"28","1/28/2020 14:16","3132","Seven Hills","OH","44131","Web","E-Ticket"
"28","1/28/2020 14:16","3132","Seven Hills","OH","44131","Web","E-Ticket"
"22","1/28/2020 14:14","4181","Shaker Heights","OH","44122","Web","E-Ticket"
"22","1/28/2020 14:14","4181","Shaker Heights","OH","44122","Web","E-Ticket"
"28","1/28/2020 14:14","1200","Cleveland","OH","44103","Web","E-Ticket"
"28","1/28/2020 14:12","4033","Cleveland","OH","44106","Web","E-Ticket"
"28","1/28/2020 14:12","4033","Cleveland","OH","44106","Web","E-Ticket"
"28","1/28/2020 14:06","1073","Cleveland","OH","44113","Web","E-Ticket"
"18","1/28/2020 14:06","1134","Cleveland","OH","44118","Web","E-Ticket"
"18","1/28/2020 14:06","1134","Cleveland","OH","44118","Web","E-Ticket"
"28","1/28/2020 14:05","4125","Shaker Heights","OH","44122","Web","Will Call"
"28","1/28/2020 14:05","4125","Shaker Heights","OH","44122","Web","Will Call"
"28","1/28/2020 14:04","4445","Mayfield","OH","44143","Web","E-Ticket"
"28","1/28/2020 14:04","4445","Mayfield","OH","44143","Web","E-Ticket"
"19","1/28/2020 14:03","4181","Shaker Heights","OH","44122","Web","E-Ticket"
"19","1/28/2020 14:03","4181","Shaker Heights","OH","44122","Web","E-Ticket"
"18","1/28/2020 13:57","4181","Shaker Heights","OH","44122","Web","E-Ticket"
"18","1/28/2020 13:57","4181","Shaker Heights","OH","44122","Web","E-Ticket"
"18","1/28/2020 13:52","188","Strongsville","OH","44136","Web","E-Ticket"
"18","1/28/2020 13:52","188","Strongsville","OH","44136","Web","E-Ticket"
"19","1/28/2020 13:35","4169","Fairview Park","OH","44126","POS","E-Ticket"
"19","1/28/2020 13:35","4169","Fairview Park","OH","44126","POS","E-Ticket"
"18","1/28/2020 13:32","3714","Cleveland","OH","44126","Web","E-Ticket"
"18","1/28/2020 13:32","3714","Cleveland","OH","44126","Web","E-Ticket"
"18","1/28/2020 13:32","3714","Cleveland","OH","44126","Web","E-Ticket"
"18","1/28/2020 13:32","3714","Cleveland","OH","44126","Web","E-Ticket"
"18","1/28/2020 13:30","1105","South Euclid","OH","44121","Web","Will Call"
"18","1/28/2020 13:30","1105","South Euclid","OH","44121","Web","Will Call"
"18","1/28/2020 13:25","4742","Cleveland Heights","OH","44106","Web","E-Ticket"
"18","1/28/2020 13:25","4742","Cleveland Heights","OH","44106","Web","E-Ticket"
"21","1/28/2020 13:21","4384","Shaker Heights","OH","44120","Web","E-Ticket"
"21","1/28/2020 13:21","4384","Shaker Heights","OH","44120","Web","E-Ticket"
"33","1/28/2020 13:10","1710","Westlake","OH","44145","Web","E-Ticket"
"18","1/28/2020 13:07","1710","Westlake","OH","44145","Web","E-Ticket"
"19","1/28/2020 13:05","4186","Pepper Pike","OH","44124","Web","E-Ticket"
"19","1/28/2020 13:05","4186","Pepper Pike","OH","44124","Web","E-Ticket"
"21","1/28/2020 13:05","1710","Westlake","OH","44145","Web","E-Ticket"
"24","1/28/2020 13:05","5011","Cleveland Heights","OH","44118","Web","Will Call"
"24","1/28/2020 13:05","5011","Cleveland Heights","OH","44118","Web","Will Call"
"18","1/28/2020 13:04","4372","Twinsburg","OH","44087","Web","E-Ticket"
"18","1/28/2020 13:04","4372","Twinsburg","OH","44087","Web","E-Ticket"
"18","1/28/2020 13:04","4372","Twinsburg","OH","44087","Web","E-Ticket"
"18","1/28/2020 13:04","4372","Twinsburg","OH","44087","Web","E-Ticket"
"18","1/28/2020 13:00","4186","Pepper Pike","OH","44124","Web","E-Ticket"
"18","1/28/2020 13:00","4186","Pepper Pike","OH","44124","Web","E-Ticket"
"21","1/28/2020 12:46","3026","Amherst","OH","44001","Web","E-Ticket"
"21","1/28/2020 12:46","3026","Amherst","OH","44001","Web","E-Ticket"
"19","1/28/2020 12:34","3906","Cleveland","OH","44118","Web","E-Ticket"
"19","1/28/2020 12:34","3906","Cleveland","OH","44118","Web","E-Ticket"
"19","1/28/2020 12:29","1418","Shaker Heights","OH","44120","Web","E-Ticket"
"19","1/28/2020 12:29","1418","Shaker Heights","OH","44120","Web","E-Ticket"
"21","1/28/2020 12:19","2380","Cleveland","OH","44143","Web","E-Ticket"
"21","1/28/2020 12:06","1163","Cleveland","OH","44121","Web","E-Ticket"
"21","1/28/2020 12:06","1163","Cleveland","OH","44121","Web","E-Ticket"
"18","1/28/2020 11:58","4652","Rocky River","OH","44116","POS","E-Ticket"
"18","1/28/2020 11:58","4652","Rocky River","OH","44116","POS","E-Ticket"
"18","1/28/2020 11:55","2947","Lyndhurst","OH","44124","POS","E-Ticket"
"18","1/28/2020 11:55","2947","Lyndhurst","OH","44124","POS","E-Ticket"
"21","1/28/2020 11:54","3653","Cleveland Heights","OH","44118","Web","E-Ticket"
"21","1/28/2020 11:54","3653","Cleveland Heights","OH","44118","Web","E-Ticket"
"18","1/28/2020 11:53","3155","Orange","OH","44022","POS","E-Ticket"
"18","1/28/2020 11:53","3155","Orange","OH","44022","POS","E-Ticket"
"18","1/28/2020 11:47","2413","Willoughby Hills","OH","44094","Web","E-Ticket"
"18","1/28/2020 11:47","2413","Willoughby Hills","OH","44094","Web","E-Ticket"
"23","1/28/2020 11:33","5112","Cleveland","OH","44135","Web","Will Call"
"23","1/28/2020 11:33","5112","Cleveland","OH","44135","Web","Will Call"
"33","1/28/2020 11:10","5151","Hudson","OH","44236","Web","E-Ticket"
"33","1/28/2020 11:10","5151","Hudson","OH","44236","Web","E-Ticket"
"33","1/28/2020 11:10","5151","Hudson","OH","44236","Web","E-Ticket"
"33","1/28/2020 11:10","5151","Hudson","OH","44236","Web","E-Ticket"
"24","1/28/2020 10:58","551","Cleveland","OH","44120","Web","Will Call"
"23","1/28/2020 10:01","3912","Beachwood","OH","44122","POS","E-Ticket"
